extracto,descripción,solvente,concentracion_microg_ml,abs_540_ SRB,porcentaje_viabiliadad_control_solvente,placa
tiaca,c_negativo,0,0,0.516,112.664,1
tiaca,c_negativo,0,0,0.516,112.664,1
tiaca,c_negativo,0,0,0.502,109.607,1
tiaca,c_negativo,0,0,0.454,99.127,1
tiaca,c_negativo,0,0,0.489,106.769,1
tiaca,c_negativo,0,0,0.558,121.834,1
tiaca,c_negativo,0,0,0.51,111.354,1
tiaca,c_negativo,0,0,0.519,113.319,1
tiaca,hexano,1,500,0.381,83.188,1
tiaca,hexano,1,500,0.424,92.576,1
tiaca,hexano,1,500,0.38,82.969,1
tiaca,hexano,1,500,0.395,86.245,1
tiaca,hexano,1,375,0.407,88.865,1
tiaca,hexano,1,375,0.427,93.231,1
tiaca,hexano,1,375,0.442,96.507,1
tiaca,hexano,1,375,0.393,85.808,1
tiaca,hexano,1,250,0.448,97.817,1
tiaca,hexano,1,250,0.449,98.035,1
tiaca,hexano,1,250,0.461,100.655,1
tiaca,hexano,1,250,0.452,98.69,1
tiaca,hexano,1,125,0.481,105.022,1
tiaca,hexano,1,125,0.437,95.415,1
tiaca,hexano,1,125,0.486,106.114,1
tiaca,hexano,1,125,0.524,114.41,1
tiaca,hexano,1,50,0.559,122.052,1
tiaca,hexano,1,50,0.481,105.022,1
tiaca,hexano,1,50,0.471,102.838,1
tiaca,hexano,1,50,0.463,101.092,1
tiaca,diclorometano,2,500,0.364,79.476,1
tiaca,diclorometano,2,500,0.349,76.201,1
tiaca,diclorometano,2,500,0.352,76.856,1
tiaca,diclorometano,2,500,0.428,93.45,1
tiaca,diclorometano,2,375,0.45,98.253,1
tiaca,diclorometano,2,375,0.465,101.528,1
tiaca,diclorometano,2,375,0.35,76.419,1
tiaca,diclorometano,2,375,0.446,97.38,1
tiaca,diclorometano,2,250,0.514,112.227,1
tiaca,diclorometano,2,250,0.449,98.035,1
tiaca,diclorometano,2,250,0.434,94.76,1
tiaca,diclorometano,2,250,0.516,112.664,1
tiaca,diclorometano,2,125,0.509,111.135,1
tiaca,diclorometano,2,125,0.423,92.358,1
tiaca,diclorometano,2,125,0.44,96.07,1
tiaca,diclorometano,2,125,0.526,114.847,1
tiaca,diclorometano,2,50,0.454,99.127,1
tiaca,diclorometano,2,50,0.529,115.502,1
tiaca,diclorometano,2,50,0.43,93.886,1
tiaca,diclorometano,2,50,0.603,131.659,1
tiaca,acetato_de_etilo,3,500,0.348,75.983,1
tiaca,acetato_de_etilo,3,500,0.326,71.179,1
tiaca,acetato_de_etilo,3,500,0.411,89.738,1
tiaca,acetato_de_etilo,3,500,0.419,91.485,1
tiaca,acetato_de_etilo,3,375,0.465,101.528,1
tiaca,acetato_de_etilo,3,375,0.409,89.301,1
tiaca,acetato_de_etilo,3,375,0.481,105.022,1
tiaca,acetato_de_etilo,3,375,0.376,82.096,1
tiaca,acetato_de_etilo,3,250,0.502,109.607,1
tiaca,acetato_de_etilo,3,250,0.491,107.205,1
tiaca,acetato_de_etilo,3,250,0.525,114.629,1
tiaca,acetato_de_etilo,3,250,0.496,108.297,1
tiaca,acetato_de_etilo,3,125,0.477,104.148,1
tiaca,acetato_de_etilo,3,125,0.503,109.825,1
tiaca,acetato_de_etilo,3,125,0.52,113.537,1
tiaca,acetato_de_etilo,3,125,0.479,104.585,1
tiaca,acetato_de_etilo,3,50,0.515,112.445,1
tiaca,acetato_de_etilo,3,50,0.62,135.371,1
tiaca,acetato_de_etilo,3,50,0.613,133.843,1
tiaca,acetato_de_etilo,3,50,0.523,114.192,1
tiaca,etanol,4,500,0.437,95.415,1
tiaca,etanol,4,500,0.553,120.742,1
tiaca,etanol,4,500,0.556,121.397,1
tiaca,etanol,4,500,0.568,124.017,1
tiaca,etanol,4,375,0.487,106.332,1
tiaca,etanol,4,375,0.67,146.288,1
tiaca,etanol,4,375,0.543,118.559,1
tiaca,etanol,4,375,0.512,111.79,1
tiaca,etanol,4,250,0.542,118.341,1
tiaca,etanol,4,250,0.569,124.236,1
tiaca,etanol,4,250,0.561,122.489,1
tiaca,etanol,4,250,0.5,109.17,1
tiaca,etanol,4,125,0.527,115.066,1
tiaca,etanol,4,125,0.514,112.227,1
tiaca,etanol,4,125,0.539,117.686,1
tiaca,etanol,4,125,0.626,136.681,1
tiaca,etanol,4,50,0.654,142.795,1
tiaca,etanol,4,50,0.559,122.052,1
tiaca,etanol,4,50,0.403,87.991,1
tiaca,etanol,4,50,0.506,110.48,1
tiaca,c_solvente,5,0,0.452,98.69,1
tiaca,c_solvente,5,0,0.49,106.987,1
tiaca,c_solvente,5,0,0.554,120.961,1
tiaca,c_solvente,5,0,0.411,89.738,1
tiaca,c_solvente,5,0,0.468,102.183,1
tiaca,c_solvente,5,0,0.502,109.607,1
tiaca,c_solvente,5,0,0.41,89.52,1
tiaca,c_solvente,5,0,0.374,81.659,1
tiaca,c_negativo,0,0,0.525,106.275,2
tiaca,c_negativo,0,0,0.602,121.862,2
tiaca,c_negativo,0,0,0.53,107.287,2
tiaca,c_negativo,0,0,0.588,119.028,2
tiaca,c_negativo,0,0,0.524,106.073,2
tiaca,c_negativo,0,0,0.574,116.194,2
tiaca,c_negativo,0,0,0.508,102.834,2
tiaca,c_negativo,0,0,0.538,108.907,2
tiaca,hexano,1,500,0.401,81.174,2
tiaca,hexano,1,500,0.454,91.903,2
tiaca,hexano,1,500,0.467,94.534,2
tiaca,hexano,1,500,0.396,80.162,2
tiaca,hexano,1,375,0.471,95.344,2
tiaca,hexano,1,375,0.492,99.595,2
tiaca,hexano,1,375,0.464,93.927,2
tiaca,hexano,1,375,0.439,88.866,2
tiaca,hexano,1,250,0.516,104.453,2
tiaca,hexano,1,250,0.507,102.632,2
tiaca,hexano,1,250,0.461,93.32,2
tiaca,hexano,1,250,0.413,83.603,2
tiaca,hexano,1,125,0.53,107.287,2
tiaca,hexano,1,125,0.538,108.907,2
tiaca,hexano,1,125,0.52,105.263,2
tiaca,hexano,1,125,0.457,92.51,2
tiaca,hexano,1,50,0.514,104.049,2
tiaca,hexano,1,50,0.526,106.478,2
tiaca,hexano,1,50,0.557,112.753,2
tiaca,hexano,1,50,0.517,104.656,2
tiaca,diclorometano,2,500,0.39,78.947,2
tiaca,diclorometano,2,500,0.321,64.98,2
tiaca,diclorometano,2,500,0.321,64.98,2
tiaca,diclorometano,2,500,0.333,67.409,2
tiaca,diclorometano,2,375,0.395,79.96,2
tiaca,diclorometano,2,375,0.377,76.316,2
tiaca,diclorometano,2,375,0.46,93.117,2
tiaca,diclorometano,2,375,0.401,81.174,2
tiaca,diclorometano,2,250,0.451,91.296,2
tiaca,diclorometano,2,250,0.442,89.474,2
tiaca,diclorometano,2,250,0.456,92.308,2
tiaca,diclorometano,2,250,0.408,82.591,2
tiaca,diclorometano,2,125,0.514,104.049,2
tiaca,diclorometano,2,125,0.448,90.688,2
tiaca,diclorometano,2,125,0.489,98.988,2
tiaca,diclorometano,2,125,0.428,86.64,2
tiaca,diclorometano,2,50,0.497,100.607,2
tiaca,diclorometano,2,50,0.431,87.247,2
tiaca,diclorometano,2,50,0.475,96.154,2
tiaca,diclorometano,2,50,0.432,87.449,2
tiaca,acetato_de_etilo,3,500,0.328,66.397,2
tiaca,acetato_de_etilo,3,500,0.411,83.198,2
tiaca,acetato_de_etilo,3,500,0.32,64.777,2
tiaca,acetato_de_etilo,3,500,0.329,66.599,2
tiaca,acetato_de_etilo,3,375,0.425,86.032,2
tiaca,acetato_de_etilo,3,375,0.403,81.579,2
tiaca,acetato_de_etilo,3,375,0.449,90.891,2
tiaca,acetato_de_etilo,3,375,0.4,80.972,2
tiaca,acetato_de_etilo,3,250,0.452,91.498,2
tiaca,acetato_de_etilo,3,250,0.468,94.737,2
tiaca,acetato_de_etilo,3,250,0.495,100.202,2
tiaca,acetato_de_etilo,3,250,0.41,82.996,2
tiaca,acetato_de_etilo,3,125,0.48,97.166,2
tiaca,acetato_de_etilo,3,125,0.465,94.13,2
tiaca,acetato_de_etilo,3,125,0.477,96.559,2
tiaca,acetato_de_etilo,3,125,0.496,100.405,2
tiaca,acetato_de_etilo,3,50,0.584,118.219,2
tiaca,acetato_de_etilo,3,50,0.542,109.717,2
tiaca,acetato_de_etilo,3,50,0.598,121.053,2
tiaca,acetato_de_etilo,3,50,0.561,113.563,2
tiaca,etanol,4,500,0.508,102.834,2
tiaca,etanol,4,500,0.525,106.275,2
tiaca,etanol,4,500,0.437,88.462,2
tiaca,etanol,4,500,0.472,95.547,2
tiaca,etanol,4,375,0.531,107.49,2
tiaca,etanol,4,375,0.553,111.943,2
tiaca,etanol,4,375,0.482,97.571,2
tiaca,etanol,4,375,0.666,134.818,2
tiaca,etanol,4,250,0.524,106.073,2
tiaca,etanol,4,250,0.53,107.287,2
tiaca,etanol,4,250,0.593,120.04,2
tiaca,etanol,4,250,0.538,108.907,2
tiaca,etanol,4,125,0.539,109.109,2
tiaca,etanol,4,125,0.455,92.105,2
tiaca,etanol,4,125,0.534,108.097,2
tiaca,etanol,4,125,0.456,92.308,2
tiaca,etanol,4,50,0.57,115.385,2
tiaca,etanol,4,50,0.464,93.927,2
tiaca,etanol,4,50,0.483,97.773,2
tiaca,etanol,4,50,0.56,113.36,2
tiaca,c_solvente,5,0,0.502,101.619,2
tiaca,c_solvente,5,0,0.561,113.563,2
tiaca,c_solvente,5,0,0.556,112.551,2
tiaca,c_solvente,5,0,0.429,86.842,2
tiaca,c_solvente,5,0,0.458,92.713,2
tiaca,c_solvente,5,0,0.473,95.749,2
tiaca,c_solvente,5,0,0.528,106.883,2
tiaca,c_solvente,5,0,0.441,89.271,2
